2024-02-29 01:07:20,724 INFO    MainThread:171052 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-29 01:07:20,725 INFO    MainThread:171052 [wandb_setup.py:_flush():76] Configure stats pid to 171052
2024-02-29 01:07:20,725 INFO    MainThread:171052 [wandb_setup.py:_flush():76] Loading settings from /home/sehwan/.config/wandb/settings
2024-02-29 01:07:20,725 INFO    MainThread:171052 [wandb_setup.py:_flush():76] Loading settings from /home/sehwan/MIIL/CAL-Refactoring/dlt/wandb/settings
2024-02-29 01:07:20,725 INFO    MainThread:171052 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-29 01:07:20,725 INFO    MainThread:171052 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': True}
2024-02-29 01:07:20,725 INFO    MainThread:171052 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/home/sehwan/MIIL/CAL-Refactoring/dlt/main.py', 'program': '/home/sehwan/MIIL/CAL-Refactoring/dlt/main.py'}
2024-02-29 01:07:20,725 INFO    MainThread:171052 [wandb_setup.py:_flush():76] calling init triggers
2024-02-29 01:07:20,725 INFO    MainThread:171052 [wandb_setup.py:_flush():76] wandb.init called with sweep_config: {}
config: {}
2024-02-29 01:07:20,725 INFO    MainThread:171052 [wandb_setup.py:_flush():76] calling init triggers
2024-02-29 01:07:20,725 INFO    MainThread:171052 [wandb_setup.py:_flush():76] wandb.init called with sweep_config: {}
config: {'dataset_path': Path('dataset'), 'train_json': Path('dataset/train_canva.json'), 'train_clip_json': Path('dataset/train_clip.json'), 'val_json': Path('dataset/val_canva.json'), 'val_clip_json': Path('dataset/val_clip.json'), 'resume_from_checkpoint': None, 'dataset': 'canva', 'max_num_comp': 40, 'seed': 42, 'scaling_size': 1, 'z_scaling_size': 1, 'mean_0': True, 'is_cond': False, 't_sampling': 'uniform', 'categories_num': 7, 'rz_ox': True, 'image_pred_ox': True, 'loss_weight': [1, 1, 1, 1.5], 'latent_dim': 512, 'num_layers': 4, 'num_heads': 8, 'dropout_r': 0.0, 'activation': 'gelu', 'cond_emb_size': 224, 'cls_emb_size': 64, 'num_cont_timesteps': 1000, 'beta_schedule': 'squaredcos_cap_v2', 'diffusion_mode': 'epsilon', 'log_interval': 1, 'save_interval': 50000, 'log_dir': Path('logs/test'), 'work_dir': 'test', 'ckpt_dir': Path('logs/test/checkpoints'), 'samples_dir': Path('logs/test/samples'), 'epoch': 2000, 'batch_size': 64, 'device': 'cuda'}
2024-02-29 01:07:20,725 INFO    MainThread:171052 [wandb_init.py:_log_setup():526] Logging user logs to /home/sehwan/MIIL/CAL-Refactoring/dlt/wandb/run-20240229_010720-wh97ps9w/logs/debug.log
2024-02-29 01:07:20,726 INFO    MainThread:171052 [wandb_init.py:_log_setup():527] Logging internal logs to /home/sehwan/MIIL/CAL-Refactoring/dlt/wandb/run-20240229_010720-wh97ps9w/logs/debug-internal.log
2024-02-29 01:07:20,726 INFO    MainThread:171052 [wandb_init.py:init():566] calling init triggers
2024-02-29 01:07:20,726 INFO    MainThread:171052 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'epochs': 1000, 'normalize interval': (-1, 1)}
2024-02-29 01:07:20,726 INFO    MainThread:171052 [wandb_init.py:init():616] starting backend
2024-02-29 01:07:20,726 INFO    MainThread:171052 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-29 01:07:20,758 INFO    MainThread:171052 [backend.py:ensure_launched():206] starting backend process...
2024-02-29 01:07:20,775 INFO    MainThread:171052 [backend.py:ensure_launched():211] started backend process with pid: 171174
2024-02-29 01:07:20,776 INFO    MainThread:171052 [wandb_init.py:init():628] backend started and connected
2024-02-29 01:07:20,779 INFO    MainThread:171052 [wandb_init.py:init():720] updated telemetry
2024-02-29 01:07:20,780 INFO    MainThread:171052 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-29 01:07:22,892 INFO    MainThread:171052 [wandb_run.py:_on_init():2262] communicating current version
2024-02-29 01:07:23,037 INFO    MainThread:171052 [wandb_run.py:_on_init():2271] got version response 
2024-02-29 01:07:23,037 INFO    MainThread:171052 [wandb_init.py:init():804] starting run threads in backend
2024-02-29 01:07:24,105 INFO    MainThread:171052 [wandb_run.py:_console_start():2241] atexit reg
2024-02-29 01:07:24,105 INFO    MainThread:171052 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-29 01:07:24,105 INFO    MainThread:171052 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-29 01:07:24,105 INFO    MainThread:171052 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-29 01:07:24,105 INFO    MainThread:171052 [wandb_init.py:init():847] run started, returning control to user process
2024-02-29 01:09:55,550 INFO    MainThread:171052 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 255
2024-02-29 01:09:55,550 INFO    MainThread:171052 [wandb_run.py:_restore():2193] restore
2024-02-29 01:09:55,551 INFO    MainThread:171052 [wandb_run.py:_restore():2199] restore done
